Year,Vancouver,Prince Rupert,Montreal,Quebec City,Sept-Iles,Saint John (NB),Halifax,West Coast Total,East Coast Total
2008,114561990,,,27229095,22599523,,,,
2009,101887824,,,22082434,19827920,,,,
2010,118378885,16103834,25223567,24500000,25070234,,,,
2011,122499631,19330558,28284933,29000000,25954381,,,,
2012,123876885,22283873,28403550,33100000,27891604,,,,
2013,135008966,23029205,28156971,27000000,27712654,,,,
2014,139638236,20686136,30445984,24000000,23786335,,,,
2015,138084076,19703356,32026630,21000000,22714607,26435882,3837723,157787432,106014842
2016,135537413,18919906,35357576,24800000,22942401,26438301,4461038,154457319,113999316
2017,142067550,23723799,38041530,27600000,24231004,30458422,5010735,165791349,125341691
2018,147090934,26730692,38925026,27600000,25362602,25069918,4769550,173821626,121727096
2019,144225630,29512243,40590176,29000000,29324703,25372180,4456707,173737873,128743766
,,Foreign only,,Accuracy of only .1 millions,,,,,
