Sections,China,Japan,South Korea,India,Indonesia,Australia,Singapore,Viet Nam,Philippines,Malaysia,United Kingdom,Germany,Belgium,France,Netherlands,Italy,Switzerland,Norway,Brazil,Spain
Total merchandise trade,4445968498,1704670363,624872505,180707856,310847459,312664996,175820472,110621375,56844937,94686309,175951345,136772095,116967854,258044101,264661149,213817066,72864567,46154196,58590964,78715136
I - Live animals and animal products.,245977066,572213781,91026981,0,1405159,2709923,880947,19982366,16517429,0,20289887,2307659,3301173,8887274,13140872,1697086,9221618,61450,3044656,0
II - Vegetable products,838862742,648103264,57030618,86217839,230708170,64524112,2341913,40450138,3881023,26724143,47430978,47033367,39370927,92392887,3737009,60704857,59748,0,11628252,7293196
III - Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes.,466958691,33136863,89145527,11536494,0,0,41048985,396384,701022,29868108,0,0,0,32130,0,0,0,0,0,0
"IV - Prepared foodstuffs; beverages, spirits and vinegar; tobacco and manufactures tobacco substitutes.",332903766,53165978,45115994,2123491,12291982,378404,1758447,4702045,20037630,1126344,9950784,8560927,232185,7206922,16751095,10582542,812465,5135790,1508549,18190060
V - Mineral products,417186411,60909395,134052429,18072310,5909,71126261,92217,276481,12539,68201,301948,8064,41058,7998,60245,91243,0,2833,7204239,872629
VI - Products of the chemical or allied industries.,557733967,6657746,5459975,2694685,1421003,1866981,24809314,1513124,85029,155331,4236852,11363197,6421270,4257777,374315,3974758,102762,337574,1489485,4079064
VII - Plastics and articles thereof; rubber and articles thereof.,244615543,5849478,2285454,1167913,12232864,3686943,13844977,10854345,6124212,14843472,1557338,630309,3453598,145260,419904,84491,906,821800,18552559,629836
"VIII - Raw hides and skins, leather, furskins and articles thereof; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut).",98994982,136464,9026535,21722,35621,13841,3687,403975,8947,4096,169424,7229,200,0,493,331,0,7293,0,595
"IX - Wood and articles of wood; wood charcoal; cork and articles of cork; manufactures of straw, of esparto or of other plaiting materials; basketware and wickerwork.",52984226,64699392,4956520,548254,3743,202035,129679,45930,8102986,6190,13127,332,4200,1582,29274,84,0,2014,0,334
X - Pulp of wood or of other fibrous cellulosic material; recovered (waste and scrap) paper or paperboard.,672726635,147143998,109328603,5955909,22223222,120498,23115,20763639,0,1965926,831351,5336737,0,4922908,33265,6961050,401,35363,9773,3624
XI - Textiles and Textile Articles,801398,11345,9408,787109,8530,83580,42497,16173,42664,27512,214027,81993,12695,37918,101196,57856,42959,1283,18786,25166
"XII - Footwear, headgear, umbrellas, sun umbrellas, walking-sticks, seat-sticks, whips, riding-crops and parts thereof; prepared feathers and articles made therewith; artificial flowers; articles of human hair.",0,0,0,0,0,18698,0,0,11082,0,0,0,0,0,45,0,0,0,7,67
"XIII - Articles of stone, plaster, cement, asbestos, mica or similar materials; ceramic products; glass and glassware.",72569,55612,131044,22708,967,51191,29379,0,0,596,1362,8825,81218,85,1207,803,0,0,436,48823
"XIV - Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad with precious metal and articles thereof; imitation jewellery; coin.",1181201,1530794,78321,572,0,188914,238219,0,0,0,201038,762999,212121,33333,10123,23632,151344,59125,0,4225
XV - Base metals and articles of base metal,203587044,99408657,72433012,23886695,1354638,10513789,18170613,8528460,32064,7529080,27423160,6845216,54894140,58451506,217576095,65935772,119036,363583,213116,34893542
"XVI - Machinery and mechanical appliances; electrical equipment; parts thereof; sound recorders and reproducers, television image and sound recorders and reproducers, and parts and accessories of such articles.",130921056,8213531,2830657,17843672,19756513,136474865,67835116,1465324,196362,9067001,45652880,42916164,8682191,58603836,7283772,43814058,60610307,22954738,13668860,2558291
"XVII - Vehicles, aircraft, vessels and associated transport equipment.",37294943,250650,435465,52744,146015,8838835,372073,126919,80634,404575,3132214,4458206,66674,20604072,2185855,15997447,887987,60449,64635,5230839
"XVIII - Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical instruments and apparatus; clocks and watches; musical instruments; parts and accessories thereof.",92306063,2528059,1396064,6148320,3818158,9415605,3925073,1080732,553111,2635129,10256678,3583336,30647,1958576,1704751,2061518,413439,4473367,1135791,747393
XIX - Arms and ammunition; parts and accessories thereof.,0,0,0,0,0,68921,0,0,0,0,0,0,0,0,0,0,3030,0,0,0
XX - Miscellaneous manufactured articles,761123,591875,80224,208608,415704,963631,72689,15340,0,167404,229070,323227,16884,24663,470210,148824,15974,209235,0,874927
"XXI - Works of art, collectors' pieces and antiques.",50099072,63481,49674,3418811,5019261,1417969,201532,0,458203,93201,4059227,2544308,146673,475374,781423,1680714,422591,11628299,51820,3262525
